airport,category,number,percentage,year
PUW,nonhub,2103,0.0002491235069766428,2004
BFI,nonhub,3835,0.00045429797872345465,2004
GGG,nonhub,1100,0.00013030711254127773,2004
GTF,nonhub,8569,0.0010150924066965536,2004
CPR,nonhub,3039,0.00036000301364813006,2004
RDM,nonhub,6468,0.0007662058217427131,2004
CIC,nonhub,1511,0.00017899458822715514,2004
FSM,nonhub,2867,0.00033962771968713026,2004
DLH,nonhub,4221,0.000500023929124303,2004
CEC,nonhub,1294,0.00015328854875310308,2004
DRO,nonhub,2173,0.0002574157777747241,2004
DBQ,nonhub,1150,0.00013623016311133581,2004
HLN,nonhub,4923,0.0005831835591279185,2004
ACT,nonhub,3543,0.00041970736339431546,2004
BTM,nonhub,2282,0.00027032802801745074,2004
PIA,nonhub,7904,0.0009363158341147811,2004
CWA,nonhub,6861,0.0008127609992233696,2004
GJT,nonhub,3556,0.0004212473565425306,2004
SPS,nonhub,2247,0.00026618189261841006,2004
ABR,nonhub,3412,0.0004041889709007633,2004
BRD,nonhub,1284,0.00015210393863909148,2004
BIS,nonhub,3368,0.0003989766863991122,2004
MSO,nonhub,6398,0.0007579135509446317,2004
LNK,nonhub,4647,0.0005504883199811979,2004
ALO,nonhub,1963,0.0002325389653804802,2004
RFD,nonhub,5079,0.0006016634769064996,2004
LSE,nonhub,4378,0.0005186223079142854,2004
FCA,nonhub,6128,0.0007259290778663182,2004
BLI,nonhub,3644,0.0004316719255458328,2004
EAU,nonhub,1715,0.0002031606345529921,2004
MCW,nonhub,2008,0.00023786971089353244,2004
RAP,nonhub,3464,0.0004103489434936237,2004
GFK,nonhub,4828,0.0005719297630448081,2004
BFL,nonhub,4538,0.0005375760697384713,2004
FSD,nonhub,8958,0.0010611737401316054,2004
SUX,nonhub,2381,0.00028205566814616575,2004
IDA,nonhub,4877,0.0005777343526034651,2004
SPI,nonhub,4711,0.0005580698247108722,2004
DEC,nonhub,1189,0.0001408501425559811,2004
BZN,nonhub,5485,0.0006497586475353713,2004
MLU,nonhub,4648,0.0005506067809925991,2004
YUM,nonhub,3901,0.0004621164054759313,2004
MOT,nonhub,1469,0.00017401922574830636,2004
GYY,nonhub,297,3.5182920386144987e-05,2004
FAR,nonhub,4359,0.0005163715486976633,2004
RST,nonhub,5907,0.0006997491943466614,2004
EVV,nonhub,9216,0.001091736681073105,2004
MOD,nonhub,1342,0.00015897467730035885,2004
CMI,nonhub,4756,0.0005634005702239244,2004
BMI,nonhub,6564,0.0007775780788372246,2004
TWF,nonhub,2406,0.00028501719343119477,2004
LRD,nonhub,3558,0.00042148427856533293,2004
MTJ,nonhub,438,5.1885922993708775e-05,2004
CLL,nonhub,3902,0.00046223486648733247,2004
ABI,nonhub,3674,0.0004352257558878677,2004
JAC,nonhub,3175,0.000376113711198688,2004
AZO,nonhub,7661,0.0009075298083442989,2004
BPT,nonhub,2533,0.0003000617418791423,2004
PIH,nonhub,3012,0.00035680456634029867,2004
LAW,nonhub,2084,0.0002468727477600207,2004
BRO,nonhub,1898,0.0002248389996394047,2004
SJT,nonhub,3137,0.00037161219276544386,2004
GRK,nonhub,2173,0.0002574157777747241,2004
VGT,nonhub,2320,0.0002748295464506949,2004
ITH,nonhub,4015,0.00047562096077566373,2004
ELM,nonhub,5613,0.00066492165699472,2004
BGR,nonhub,7932,0.0009396327424340137,2004
YNG,nonhub,336,3.980289983079029e-05,2004
BGM,nonhub,6077,0.000719887566284859,2004
AVP,nonhub,7717,0.000914163624982764,2004
CHA,nonhub,9521,0.0011278672895504594,2004
SCE,nonhub,7557,0.000895209863158578,2004
CHO,nonhub,9030,0.001069702932952489,2004
JHW,nonhub,1576,0.00018669455396823066,2004
FLO,nonhub,2607,0.0003088278567228282,2004
ERI,nonhub,7154,0.00084747007556391,2004
SFB,nonhub,2446,0.00028975563388724125,2004
PGV,nonhub,1827,0.0002164282678299222,2004
MBS,nonhub,4954,0.0005868558504813545,2004
LCK,nonhub,2988,0.0003539615020666708,2004
MGM,nonhub,5655,0.0006698970194735687,2004
TVC,nonhub,6753,0.0007999672099920441,2004
AEX,nonhub,4564,0.0005406560560349015,2004
JLN,nonhub,734,8.69503823684526e-05,2004
LFT,nonhub,5715,0.0006770046801576385,2004
KTN,nonhub,3915,0.0004637748596355476,2004
LCH,nonhub,1901,0.00022519438267360817,2004
COU,nonhub,1781,0.00021097906130546879,2004
ILE,nonhub,2908,0.0003444846211545779,2004
TYR,nonhub,3569,0.0004227873496907457,2004
FLG,nonhub,2083,0.00024675428674861955,2004
EFD,nonhub,1120,0.00013267633276930097,2004
CSG,nonhub,2343,0.0002775541497129216,2004
GNV,nonhub,4226,0.0005006162341813088,2004
HII,nonhub,1462,0.00017318999866849824,2004
SBP,nonhub,6502,0.0007702334961303526,2004
MKG,nonhub,2195,0.00026002192002554965,2004
HGR,nonhub,1177,0.00013942861041916718,2004
MQT,nonhub,3356,0.00039755515426229826,2004
FAY,nonhub,4347,0.0005149500165608494,2004
AGS,nonhub,6043,0.0007158598918972194,2004
AVL,nonhub,8964,0.0010618845062000124,2004
VLD,nonhub,1415,0.00016762233113264363,2004
MWA,nonhub,1325,0.0001569608401065391,2004
GLH,nonhub,901,0.00010673337127244658,2004
APN,nonhub,1032,0.00012225176376599875,2004
PAH,nonhub,1992,0.00023597433471111387,2004
FMN,nonhub,3578,0.00042385349879335614,2004
BQK,nonhub,1345,0.00015933006033456233,2004
ABY,nonhub,1653,0.00019581605184612009,2004
