id,airport,type,latitude,longitude,crs_dep_time,dep_time,cancelled,diverted
79,CLT,origin,35.21401111,-80.94312583,1219,,1,0
79,BDL,dest,41.93887417,-72.68322833,1219,,1,0
80,MCI,origin,39.29760528,-94.71390556,719,818,0,1
80,CLT,dest,35.21401111,-80.94312583,819,818,0,1
81,CLT,origin,35.21401111,-80.94312583,1344,,1,0
81,TPA,dest,27.97547222,-82.53325,1344,,1,0
82,CLT,origin,35.21401111,-80.94312583,1205,,1,0
82,DTW,dest,42.21205889,-83.34883583,1205,,1,0
83,MIA,origin,25.79325,-80.29055556,915,,1,0
83,CLT,dest,35.21401111,-80.94312583,915,,1,0
84,MIA,origin,25.79325,-80.29055556,1200,,1,0
84,PHL,dest,39.87195278,-75.24114083,1200,,1,0
85,PHL,origin,39.87195278,-75.24114083,1540,,1,0
85,PVD,dest,41.72399917,-71.42822111,1540,,1,0
86,CLT,origin,35.21401111,-80.94312583,930,,1,0
86,BDL,dest,41.93887417,-72.68322833,930,,1,0
87,GSP,origin,34.89566722,-82.21885833,800,757,0,0
87,CLT,dest,35.21401111,-80.94312583,800,757,0,0
88,CLT,origin,35.21401111,-80.94312583,800,756,0,0
88,BWI,dest,39.17540167,-76.66819833,800,756,0,0
89,SAV,origin,32.12758333,-81.20213889,609,604,0,0
89,CLT,dest,35.21401111,-80.94312583,609,604,0,0
90,CLT,origin,35.21401111,-80.94312583,1219,,1,0
90,IND,dest,39.71732917,-86.29438417,1219,,1,0
91,CLT,origin,35.21401111,-80.94312583,1650,,1,0
91,LGA,dest,40.77724306,-73.87260917,1650,,1,0
92,BNA,origin,36.12447667,-86.67818222,809,,1,0
92,CLT,dest,35.21401111,-80.94312583,909,,1,0
93,CLT,origin,35.21401111,-80.94312583,1205,,1,0
93,PIT,dest,40.49146583,-80.23287083,1205,,1,0
94,EWR,origin,40.69249722,-74.16866056,1557,,1,0
94,PIT,dest,40.49146583,-80.23287083,1557,,1,0
95,DCA,origin,38.85208333,-77.03772222,1005,,1,0
95,ALB,dest,42.74811944,-73.80297861,1005,,1,0
96,PBI,origin,26.68316194,-80.09559417,700,653,0,0
96,DCA,dest,38.85208333,-77.03772222,700,653,0,0
97,LGA,origin,40.77724306,-73.87260917,1744,,1,0
97,CLT,dest,35.21401111,-80.94312583,1744,,1,0
98,DTW,origin,42.21205889,-83.34883583,1925,,1,0
98,PHL,dest,39.87195278,-75.24114083,1925,,1,0
