id,airport,latitude,longitude,crs_dep_time,dep_time,cancelled,diverted
72,"MHT",42.93451639,-71.43705583,"1535","",1.00,0.00
73,"ALB",42.74811944,-73.80297861,"0935","",1.00,0.00
73,"PIT",40.49146583,-80.23287083,"0935","",1.00,0.00
74,"PIT",40.49146583,-80.23287083,"1141","",1.00,0.00
74,"RDU",35.87763889,-78.78747222,"1141","",1.00,0.00
75,"CLT",35.21401111,-80.94312583,"1530","",1.00,0.00
75,"PIT",40.49146583,-80.23287083,"1530","",1.00,0.00
76,"PIT",40.49146583,-80.23287083,"1750","",1.00,0.00
76,"CRW",38.37315083,-81.59318972,"1750","",1.00,0.00
77,"RDU",35.87763889,-78.78747222,"1540","",1.00,0.00
77,"PIT",40.49146583,-80.23287083,"1540","",1.00,0.00
78,"MCO",28.42888889,-81.31602778,"1735","",1.00,0.00
78,"PIT",40.49146583,-80.23287083,"1735","",1.00,0.00
79,"GSO",36.09774694,-79.9372975,"0625","0624",0.00,0.00
79,"CLT",35.21401111,-80.94312583,"0625","0624",0.00,0.00
80,"PIT",40.49146583,-80.23287083,"1410","",1.00,0.00
80,"DAY",39.90237583,-84.219375,"1410","",1.00,0.00
81,"ATL",33.64044444,-84.42694444,"1150","",1.00,0.00
81,"PIT",40.49146583,-80.23287083,"1150","",1.00,0.00
82,"PIT",40.49146583,-80.23287083,"1415","",1.00,0.00
82,"MDT",40.19349528,-76.76340361,"1415","",1.00,0.00
83,"PIT",40.49146583,-80.23287083,"2243","",1.00,0.00
83,"CLT",35.21401111,-80.94312583,"2243","",1.00,0.00
84,"PHL",39.87195278,-75.24114083,"0935","",1.00,0.00
84,"PWM",43.64616667,-70.30875,"0935","",1.00,0.00
85,"ATL",33.64044444,-84.42694444,"1900","",1.00,0.00
85,"CLT",35.21401111,-80.94312583,"1900","",1.00,0.00
86,"CLT",35.21401111,-80.94312583,"2050","",1.00,0.00
86,"GSO",36.09774694,-79.9372975,"2050","",1.00,0.00
87,"CLT",35.21401111,-80.94312583,"1220","",1.00,0.00
87,"BDL",41.93887417,-72.68322833,"1220","",1.00,0.00
88,"MCI",39.29760528,-94.71390556,"0820","0818",0.00,1.00
88,"CLT",35.21401111,-80.94312583,"0820","0818",0.00,1.00
89,"CLT",35.21401111,-80.94312583,"1345","",1.00,0.00
89,"TPA",27.97547222,-82.53325,"1345","",1.00,0.00
90,"CLT",35.21401111,-80.94312583,"1205","",1.00,0.00
90,"DTW",42.21205889,-83.34883583,"1205","",1.00,0.00
91,"MIA",25.79325,-80.29055556,"0915","",1.00,0.00
91,"CLT",35.21401111,-80.94312583,"0915","",1.00,0.00
92,"MIA",25.79325,-80.29055556,"1200","",1.00,0.00
92,"PHL",39.87195278,-75.24114083,"1200","",1.00,0.00
93,"PHL",39.87195278,-75.24114083,"1540","",1.00,0.00
93,"PVD",41.72399917,-71.42822111,"1540","",1.00,0.00
94,"TRI",36.47521417,-82.40742056,"1207","",1.00,0.00
94,"CLT",35.21401111,-80.94312583,"1207","",1.00,0.00
95,"CLT",35.21401111,-80.94312583,"0930","",1.00,0.00
95,"BDL",41.93887417,-72.68322833,"0930","",1.00,0.00
96,"GSP",34.89566722,-82.21885833,"0800","0757",0.00,0.00
96,"CLT",35.21401111,-80.94312583,"0800","0757",0.00,0.00
